Rank,Release Date,Movie,Production Budget,Domestic Gross,Worldwide Gross
209,3/20/2018,Ready Player One, 150000000, 137690172, 579055653
210,11/4/2005,Chicken Little, 150000000, 135386665, 310043823
211,5/5/2006,Mission: Impossible III, 150000000, 133501348, 399387745
212,5/15/2009,Angels & Demons, 150000000, 133375846, 490875846
213,5/13/2004,Troy, 150000000, 133298577, 483152040
214,7/1/2010,The Last Airbender, 150000000, 131772187, 319713881
215,11/2/2007,Bee Movie, 150000000, 126631277, 287594577
216,7/24/2009,G-Force, 150000000, 119436770, 292817841
217,11/21/2008,Bolt, 150000000, 114053579, 328015029
218,11/24/2021,Encanto, 150000000, 96069910, 229401533
219,3/28/2012,Wrath of the Titans, 150000000, 83670083, 305270083
220,11/16/2007,Beowulf, 150000000, 82280579, 195080579
221,5/9/2012,Dark Shadows, 150000000, 79727149, 238202668
222,6/28/2013,White House Down, 150000000, 73103784, 205440387
223,7/14/2021,Space Jam: A New Legacy, 150000000, 70592228, 144003749
224,2/12/2010,The Wolfman, 150000000, 62189884, 142634358
225,12/15/2016,The Great Wall, 150000000, 45157105, 334486852
226,9/25/2015,Pan, 150000000, 35088320, 151525973
227,3/11/2011,Mars Needs Moms, 150000000, 21392758, 39549758
228,2/3/2022,Moonfall, 150000000, 19060660, 52352134
229,11/4/2021,Red Notice, 150000000, 0, 173638
230,12/13/2019,6 Underground, 150000000, 0, 0
231,11/3/2006,Flushed Away, 149000000, 64665672, 179357126
232,6/8/2012,Madagascar 3: Europe's Most Wanted, 145000000, 216391482, 746921271
233,12/14/2011,Mission: ImpossibleâGhost Protocol, 145000000, 209397903, 694713230
234,6/5/2014,How to Train Your Dragon 2, 145000000, 177002924, 614586270
235,6/16/1999,Tarzan, 145000000, 171091819, 448191819
236,2/20/2014,Mr. Peabody & Sherman, 145000000, 111506430, 269806430
237,11/20/2012,Rise of the Guardians, 145000000, 103412758, 306900902
238,4/8/2005,Sahara, 145000000, 68671925, 121645390
239,7/13/2016,Ghostbusters, 144000000, 128350574, 229008658
240,11/22/2002,Die Another Day, 142000000, 160942139, 431942139
241,7/9/2003,Pirates of the Caribbean: The Curse of the Blac…, 140000000, 305410819, 654310819
242,5/8/2009,Star Trek, 140000000, 257730019, 386839614
243,7/1/1998,Armageddon, 140000000, 201578182, 554600000
244,7/3/2002,Men in Black 2, 140000000, 190418803, 441767803
245,7/22/2011,Captain America: The First Avenger, 140000000, 176654505, 370569776
